sku_type,sku_supplier,sku_code,,sku_origin,sku_size_d,sku_size_w,sku_size_h,sku_shape,sku_color,sku_weight,sku_image
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1855,,,1.3,,,RD,,9.3,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1856,,,0.9,,,RD,,2.92,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1856,,,1.1,,,RD,,0.99,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1856,,,1.2,,,RD,,2.05,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1857,,,1.3,,,RD,,4.79,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1857,,,1.4,,,RD,,0.89,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1857,,,1.5,,,RD,,7.3,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1857,,,1.6,,,RD,,6.1,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1857,,,1.7,,,RD,,6.53,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1857,,,3.9,,,RD,,3.07,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1857A,,,3.9,,,RD,,0.68,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1858,,,1.8,,,RD,,0.77,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1858,,,1.9,,,RD,,0.02,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1858,,,1.8,,,RD,,1.29,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1858,,,2,,,RD,,1.31,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1858,,,2.1,,,RD,,3.61,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1858,,,2.2,,,RD,,3.56,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1858,,,2.3,,,RD,,1.96,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1858,,,2.4,,,RD,,0.95,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1858,,,2.6,,,RD,,0.59,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1859,,,2.8,,,RD,,2.4,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1859,,,3,,,RD,,0.79,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,D1859,,,3.1,,,RD,,1.11,
12,deba0944-b698-4b5d-ab10-11dfa746d299,D4901,,,6.2,,,RD,,0.89,
12,,D979,,,,,,RD,,0.37,
12,,EMS,,,,,,RD,BRN,0.16,
12,,EMS,,,,,,RD,,0.15,
12,,L983120012,,,1.2,,,RD,,0.33,
12,,Q76,,,1.5,,,RD,BLK,0.12,
12,,,,,,,,RD,,0.18,
12,,,,,2.7,,,RD,,0.15,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,30G6-4465,,,,,,RD,,0.3,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,30E7-1433,,,,,,RD,,0.3,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,33E6-0874,,,,,,RD,,0.33,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,33E5-8644,,,,,,RD,,0.33,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,32F5-1506,,,,,,RD,,0.32,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,34G5-2343,,,,,,RD,,0.34,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,33F5-2797,,,,,,RD,,0.33,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,33G5-7742,,,,,,RD,,0.33,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,33G5-3697,,,,,,RD,,0.33,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,33E6-3110,,,,,,RD,,0.33,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,35E7-1661,,,,,,RD,,0.35,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,30G5-6936,,,,,,RD,,0.3,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,30F6-5254,,,,,,RD,,0.3,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,30E7-9775,,,,,,RD,,0.3,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,45G7-9478,,,,,,RD,,0.45,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,40F7-7053,,,,,,RD,,0.4,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,41F7-0772,,,,,,RD,,0.41,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,41G7-6483,,,,,,RD,,0.41,
12,9fd8d18d-4661-441d-90a3-1bc1fce855a0,43I2-6980,,,,,,RD,,0.43,
12,,44I3-7641,,,,,,RD,,0.44,
