sku_type_id,sku_supplier_id,sku_internal_code,sku_code,sku_origin,sku_size_d,sku_size_w,sku_size_h,sku_shape_id,sku_colour_id,sku_weight
12,5cad07d9-6cc7-4c3b-9e79-8830e20c48eb,0,D1846,,1.6,1.8,0,16,,0.41
12,5cad07d9-6cc7-4c3b-9e79-8830e20c48eb,0,D1847,,2.3,2.7,0,16,,0.04
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1848,,2.8,3.2,0,16,,0.89
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1849,,3.3,3.5,0,16,,0.4
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1850,,3.6,3.8,0,16,,0.58
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1853,,3.2,3.25,0,16,,1.06
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1853,,3.3,3.3,0,16,,0.82
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1854,,3.6,3.6,0,16,,1.65
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1854,,3.7,3.7,0,16,,0.18
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1855,,1.3,1.8,0,16,,9.3
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1856,,0.9,1,0,16,,2.92
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1856,,1.1,1.1,0,16,,0.99
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1856,,1.2,1.2,0,16,,2.05
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1857,,1.3,1.35,0,16,,4.79
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1857,,1.4,1.4,0,16,,0.89
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1857,,1.5,1.5,0,16,,7.3
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1857,,1.6,1.6,0,16,,6.1
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1857,,1.7,1.7,0,16,,6.53
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1857,,3.9,3.9,0,16,,3.07
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1857A,,3.9,3.9,0,16,,0.68
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1858,,1.8,1.8,0,16,,0.77
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1858,,1.9,1.9,0,16,,0.02
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1858,,1.8,1.9,0,16,,1.29
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1858,,2,2,0,16,,1.31
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1858,,2.1,2.1,0,16,,3.61
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1858,,2.2,2.2,0,16,,3.56
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1858,,2.3,2.3,0,16,,1.96
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1858,,2.4,2.4,0,16,,0.95
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1858,,2.6,2.6,0,16,,0.59
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1859,,2.8,2.9,0,16,,2.4
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1859,,3,3,0,16,,0.79
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,D1859,,3.1,3.1,0,16,,1.11
12,25582431-5940-4747-8fa2-6d2b7eb1ef98,0,D4901,,6.2,6.2,0,16,,0.89
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,0,D979,,0,0,0,16,,0.37
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,0,EMS,,0,0,0,16,6,0.16
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,0,EMS,,0,0,0,16,,0.15
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,0,L983120012,,1.2,1.2,0,16,,0.33
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,0,Q76,,1.5,1.5,0,16,5,0.12
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,0,,,0,0,0,15,,0.18
12,0368a7f2-ab38-42a3-814e-5e58b7bfd9d9,0,,,2.7,2.7,0,16,,0.15
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,30G6-4465,,0,0,0,16,,0.3
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,30E7-1433,,0,0,0,16,,0.3
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,33E6-0874,,0,0,0,16,,0.33
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,33E5-8644,,0,0,0,16,,0.33
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,32F5-1506,,0,0,0,16,,0.32
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,34G5-2343,,0,0,0,16,,0.34
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,33F5-2797,,0,0,0,16,,0.33
12,7c767960-95dd-4b91-8f4a-0141bc0605b9,0,33G5-7742,,0,0,0,16,,0.33
